menu, category, price, option, description
카페 아메리카노,커피,4100,"1,2",진한 에스프레소와 뜨거운 물을 섞어 깔끔하고 강렬한 에스프레소를 가장 부드럽게 잘 느낄 수 있는 커피
아이스 카페 아메리카노,커피,4100,"1,2",진한 에스프레소에 시원한 정수물과 얼음을 더하여 깔끔하고 강렬한 에스프레소를 가장 부드럽고 시원하게 즐길 수 있는 커피
아이스 디카페인 카페 아메리카노,커피,4400,"1,2",깊고 강렬한 에스프레소의 풍미를 아이스 디카페인 카페 아메리카노로 즐겨보세요!
카페 라떼,커피,4600,"1,2",풍부하고 진한 에스프레소가 신선한 스팀 밀크를 만나 부드러워진 커피 위에 우유 거품을 살짝 얹은 대표적인 커피 라떼
아이스 카페 라떼,커피,4600,"1,2",풍부하고 진한 농도의 에스프레소가 시원한 우유와 얼음을 만나 고소함과 시원함을 즐길 수 있는 대표적인 커피 라떼
카라멜 마키아또,커피,5600,"1,2",향긋한 바닐라 시럽과 따뜻한 스팀 밀크 위에 풍성한 우유 거품을 얹고 점을 찍듯이 에스프레소를 부은 후 벌집 모양으로 카라멜 드리즐을 올린 달콤한 커피 음료
아이스 카라멜 마키아또,커피,5600,"1,2",향긋한 바닐라 시럽과 시원한 우유와 얼음을 넣고 점을 찍듯이 에스프레소를 부은 후 벌집 모양으로 카라멜 드리즐을 올린 달콤한 커피 음료
카푸치노,커피,4600,"1,2",풍부하고 진한 에스프레소에 따뜻한 우유와 벨벳 같은 우유 거품이 1:1 비율로 어우러져 마무리된 커피 음료
아이스 카푸치노,커피,4600,"1,2",풍부하고 진한 에스프레소에 신선한 우유와 우유 거품이 얼음과 함께 들어간 시원하고 부드러운 커피 음료
카페 모카,커피,5100,"1,2,3",진한 초콜릿 모카 시럽과 풍부한 에스프레소를 스팀 밀크와 섞어 휘핑크림으로 마무리한 음료로 진한 에스프레소와 초콜릿 맛이 어우러진 커피
아이스 카페 모카,커피,5100,"1,2,3",진한 초콜릿 모카 시럽과 풍부한 에스프레소를 신선한 우유 그리고 얼음과 섞어 휘핑크림으로 마무리한 음료로 진한 에스프레소와 초콜릿 맛이 어우러진 커피
화이트 초콜릿 모카,커피,5600,"1,2,3",달콤하고 부드러운 화이트 초콜릿 시럽과 에스프레소를 스팀 밀크와 섞어 휘핑크림으로 마무리한 음료로 달콤함과 강렬한 에스프레소가 부드럽게 어우러진 커피
아이스 화이트 초콜릿 모카,커피,5600,"1,2,3",달콤하고 부드러운 화이트 초콜릿 시럽과 에스프레소를 신선한 우유 그리고 얼음과 섞어 휘핑크림으로 마무리한 음료로 달콤함과 강렬한 에스프레소가 부드럽게 어우러진 커피
콜드 브루,커피,4500,"1,2",콜드 브루 전용 원두를 차가운 물로 14시간 동안 추출한 깊은 풍미의 커피
돌체 콜드 브루,커피,5800,"1,2",동남아 휴가지에서 즐기는 커피를 떠오르게 하는 돌체 콜드 브루
바닐라 크림 콜드 브루,커피,5500,"1,2",콜드 브루에 더해진 바닐라 크림으로 깔끔하면서 달콤한 콜드 브루
나이트로 콜드 브루,커피,5800,"1,2",나이트로 커피 정통의 캐스케이딩과 부드러운 콜드 크레마 커피
나이트로 바닐라 크림,커피,5800,"1,2",부드러운 목넘김의 나이트로 커피와 바닐라 크림의 매력을 가진 커피
돌체 라떼,커피,5600,"1,2",더욱 깊은 커피의 맛과 향에 깔끔한 무지방 우유와 부드러운 돌체 시럽이 들어간 음료로 달콤하고 진한 커피 라떼
아이스 돌체 라떼,커피,5600,"1,2",더욱 깊은 커피의 맛과 향에 깔끔한 무지방 우유와 부드러운 돌체 시럽이 들어간 음료로 달콤하고 진한 커피 라떼
바닐라 빈 라떼,커피,7000,"1,2",프리미엄 바닐라 빈 시럽이 부드럽게 어우러진 카페 라떼
아이스 바닐라 빈 라떼,커피,7000,"1,2",프리미엄 바닐라 빈 시럽이 부드럽게 어우러진 카페 라떼
에스프레소,커피,3600,"1,2","향기로운 크레마 층과 바디 층, 하트 층으로 이루어져 있으며, 입안 가득히 커피와 달콤한 카라멜 향이 느껴지는 커피 음료"
클래식 아포가토,커피,7000,"1,2",에스프레소 투 샷이 바닐라 아이스크림과 진하게 어우러진 정통 아포가토
모카 프라푸치노,프라푸치노,5600,"1,2,3",초콜릿과 커피가 어우러진 프라푸치노
에스프레소 프라푸치노,프라푸치노,5100,"1,2,3",에스프레소 샷의 강렬함과 약간의 단맛이 어우러진 프라푸치노
자바 칩 프라푸치노,프라푸치노,6100,"1,2,3","커피, 모카 소스, 진한 초콜릿 칩이 입안 가득 느껴지는 프라푸치노"
카라멜 프라푸치노,프라푸치노,5600,"1,2,3",카라멜과 커피가 어우러진 프라푸치노
화이트 초콜릿 모카 프라푸치노,프라푸치노,5700,"1,2,3","화이트 초콜릿, 커피와 우유가 조화로운 프라푸치노"
바닐라 크림 프라푸치노,프라푸치노,4800,"1,3",신선한 우유와 바닐라 시럽이 어우러진 크림 프라푸치노
초콜릿 크림 칩 프라푸치노,프라푸치노,5700,"1,3","모카 소스와 진한 초콜릿 칩, 초콜릿 드리즐이 올라간 달콤한 크림 프라푸치노"
화이트 딸기 크림 프라푸치노,프라푸치노,5700,"1,3",바닐라 크림 베이스와 새콤 달콤한 딸기 과육이 레이어드된 크림 프라푸치노
